20120108a,공기평展 / KONGKIPYUNG / 孔基枰 / painting,FunnyFunny 11- 호접몽 胡蝶夢 (The Butterfly Dream),solo exhibition,공기평,FunnyFunny 11-胡蝶夢(The Butterfly Dream)2,캔버스에 아크릴채색 유채,53×45.5cm,2011,https://neolook.com/archives/2012010802a.jpg
20120108a,공기평展 / KONGKIPYUNG / 孔基枰 / painting,FunnyFunny 11- 호접몽 胡蝶夢 (The Butterfly Dream),solo exhibition,공기평,FunnyFunny 11-胡蝶夢(The Butterfly Dream)3,캔버스에 아크릴채색 유채,72.7×60.6cm,2011,https://neolook.com/archives/2012010803a.jpg
20120108a,공기평展 / KONGKIPYUNG / 孔基枰 / painting,FunnyFunny 11- 호접몽 胡蝶夢 (The Butterfly Dream),solo exhibition,공기평,FunnyFunny 11-胡蝶夢(The Butterfly Dream)4,캔버스에 아크릴채색 유채,72.7×60.6cm,2011,https://neolook.com/archives/2012010804a.jpg
20120108a,공기평展 / KONGKIPYUNG / 孔基枰 / painting,FunnyFunny 11- 호접몽 胡蝶夢 (The Butterfly Dream),solo exhibition,공기평,FunnyFunny 11-胡蝶夢(The Butterfly Dream)5,캔버스에 아크릴채색 유채,72.7×60.6cm,2011,https://neolook.com/archives/2012010805a.jpg
20120108a,공기평展 / KONGKIPYUNG / 孔基枰 / painting,FunnyFunny 11- 호접몽 胡蝶夢 (The Butterfly Dream),solo exhibition,공기평,FunnyFunny 11-胡蝶夢(The Butterfly Dream)6,캔버스에 아크릴채색 유채,53×45.5cm,2011,https://neolook.com/archives/2012010806a.jpg
20120108a,공기평展 / KONGKIPYUNG / 孔基枰 / painting,FunnyFunny 11- 호접몽 胡蝶夢 (The Butterfly Dream),solo exhibition,공기평,FunnyFunny 11-胡蝶夢(The Butterfly Dream)7,캔버스에 아크릴채색 유채,53×45.5cm,2011,https://neolook.com/archives/2012010807a.jpg
20120109a,최병권展 / CHOIBYOUNGKWON / 崔昺勸 / painting,POWER,solo exhibition,최병권,Power-Heart2,종이에 먹,130.3×162.2cm,2011,https://neolook.com/archives/2012010901a.jpg
20120109a,최병권展 / CHOIBYOUNGKWON / 崔昺勸 / painting,POWER,solo exhibition,최병권,Power-Heart1,종이에 먹,130.3×162.2cm,2011,https://neolook.com/archives/2012010902a.jpg
20120109a,최병권展 / CHOIBYOUNGKWON / 崔昺勸 / painting,POWER,solo exhibition,최병권,Power-Machine2,종이에 먹,130.3×162.2cm,2011,https://neolook.com/archives/2012010903a.jpg
20120109a,최병권展 / CHOIBYOUNGKWON / 崔昺勸 / painting,POWER,solo exhibition,최병권,Power-Heart3,종이에 먹,48×145cm,2011,https://neolook.com/archives/2012010904a.jpg
20120109a,최병권展 / CHOIBYOUNGKWON / 崔昺勸 / painting,POWER,solo exhibition,최병권,Power-Heart4,종이에 먹,59.3×143.2cm,2011,https://neolook.com/archives/2012010905a.jpg
20120109a,최병권展 / CHOIBYOUNGKWON / 崔昺勸 / painting,POWER,solo exhibition,최병권,Power-Heart5,종이에 먹,60.6×90.9cm,2011,https://neolook.com/archives/2012010906a.jpg
20120109a,최병권展 / CHOIBYOUNGKWON / 崔昺勸 / painting,POWER,solo exhibition,최병권,Power-Machine3,종이에 먹,100×65.1cm,2011,https://neolook.com/archives/2012010907a.jpg
20120109b,2012_0112 ▶ 2012_0209 / 월요일 휴관,파동*** the forces behind,other,김민애,Distant Stairway,Wooden Handrail 황동 스틸,690×2780×150cm,2011,https://neolook.com/archives/2012010901b.jpg
20120109b,2012_0112 ▶ 2012_0209 / 월요일 휴관,파동*** the forces behind,other,정윤석 강정석 스클라벤탄츠,Siren Night,HD Experimental stereo,00:20:40,2011,https://neolook.com/archives/2012010902b.jpg
20120109c,임영선展 / LIMYOUNGSUN / 林英宣 / painting,On the Earth: Cambodia_Tibet,solo exhibition,임영선,Tibet Himalaya,캔버스에 유채,162×130cm,2011,https://neolook.com/archives/2012010901c.jpg
