20001105a,박진화展 / PARKJINHWA / 朴珍華 / painting,나무에 기대는 당신의 그림,solo exhibition,박진화,밤의 붉은 나무,캔버스에 유채,218×290cm,2000,https://neolook.com/archives/2000110502a.jpg
20001105a,박진화展 / PARKJINHWA / 朴珍華 / painting,나무에 기대는 당신의 그림,solo exhibition,박진화,붉은나무 꿈을 꾸다,캔버스에 유채,218×290cm,2000,https://neolook.com/archives/2000110503a.jpg
20001108a,이화정展 / painting,달과 망부석,solo exhibition,이화정,남과 여,수제종이에 먹과 자연염료,40×60cm,2000,https://neolook.com/archives/2000110801a.jpg
20001111a,남기덕展 / installation,SHOES,solo exhibition,남기덕,Stand on the Road,설치 모니터 VTR 거울 신발,300×1000×200cm,2000,https://neolook.com/archives/2000111101a.jpg
20001111a,남기덕展 / installation,SHOES,solo exhibition,남기덕,The Cuting,VTR,00:30:00,2000,https://neolook.com/archives/2000111102a.jpg
20001111a,남기덕展 / installation,SHOES,solo exhibition,남기덕,Stand on the Road,설치 모니터 VTR 거울 신발,300×1000×200cm,2000,https://neolook.com/archives/2000111103a.jpg
20001111a,남기덕展 / installation,SHOES,solo exhibition,남기덕,Banquet,설치 신발 식탁 의자,280×280×180cm,2000,https://neolook.com/archives/2000111104a.jpg
20001113a,박진호展 / PARKJINHO / 朴鎭浩 / photography,몸 너머,solo exhibition,박진호,The other side of the Body #1,흑백인화,120×180cm,2000,https://neolook.com/archives/2000111301a.jpg
20001124a,2000_1114 ▶ 2000_1130,직장인을 위한 스트레스 해소,other,김주호,바쁜 N세대,나무 오브제,62×27×25cm,2000,https://neolook.com/archives/2000112401a.jpg
20001129a,이미지올로기 02 / 이동기,아톰과 미키마우스 남한에서 만나다.,other,이동기,워키토키,캔버스에 아크릴채색,41×32cm,1998,https://neolook.com/archives/2000112901a.jpg
20001129a,이미지올로기 02 / 이동기,아톰과 미키마우스 남한에서 만나다.,other,이동기,수배자,캔버스에 아크릴채색,117×91cm,1998,https://neolook.com/archives/2000112903a.jpg
20001211a,기획_아트선재센터,디자인 혹은 예술,other,홍경택,서재1,캔버스에 유채,181.5×220.7cm,1997,https://neolook.com/archives/2000121101a.jpg
20001215a,2000 새로운 예술의 해 폐막제,닫으며*** 열며,other,김준,장미클럽,영상설치,00:04:00,2000,https://neolook.com/archives/2000121501a.jpg
20001215a,2000 새로운 예술의 해 폐막제,닫으며*** 열며,other,김주호,근데 말이야,질구이에 채색,52×62×25cm,1998,https://neolook.com/archives/2000121503a.jpg
20001218a,쌈지 2기 작가展,쌈지 2기 오픈 스튜디오,exhibition,강운,순수형태-여명,캔버스에 유채,333.3×218.2cm,2000,https://neolook.com/archives/2000121801a.jpg
